Reviewer ID,Paper ID,Originality,Significance,Correctness,Experiments,Reproducibility,Clarity,Overall
sS6j,400,2,2,2,2,2,2,3
wNTX,422,2,2,3,2,2,2,4
EagY,240,2,2,3,1,3,3,3
29eJ,688,2,1,3,2,3,3,3
zZtE,105,3,3,3,3,3,3,7
QrvS,150,2,3,3,3,2,2,6
1XRG,523,2,2,3,2,3,3,4
gAwn,589,3,2,4,3,2,4,7
4vL1,446,3,3,3,3,3,3,7
MBhr,337,3,2,3,3,2,3,6
46Pd,279,3,2,3,3,2,4,7
JisJ,302,3,2,3,2,3,4,6
LKzs,167,2,2,2,2,3,2,4
qwpD,116,2,1,3,2,2,2,4
kbzd,541,2,2,3,2,2,2,3
L13t,405,2,2,3,2,2,2,5
qybJ,140,2,2,3,3,3,3,4
1mAc,581,3,3,3,2,2,2,7
Fsn8,87,2,2,3,0,2,1,4
n7EN,22,3,3,3,3,3,3,7
yTvs,536,3,2,3,3,2,2,4
SnuG,427,2,3,3,2,3,3,6
SwPB,149,2,2,2,2,3,2,4
GNX2,321,2,3,3,3,2,2,5
mjaE,284,2,2,2,0,2,2,5
6gTU,454,2,2,1,3,2,2,4
A3iY,18,2,2,2,2,2,2,5
nk1Y,689,2,3,2,2,3,4,5
ttYF,547,2,2,3,2,3,2,4
YzSo,559,2,2,2,2,1,3,5
fS5i,347,2,1,2,1,1,1,2
er5T,182,2,2,3,3,2,3,4
hxKk,369,2,2,3,3,3,4,5
5zaW,200,1,2,3,3,3,2,5
3cTn,152,2,1,3,3,3,1,4
JsX2,572,4,4,3,0,3,4,8
7Z33,580,2,2,3,2,2,3,5
rWAF,721,2,2,3,2,2,2,5
eXaB,621,3,3,3,3,2,3,8
oNrk,626,3,4,3,3,2,3,4
Lvva,170,2,3,4,3,4,4,6
vyuR,703,3,3,3,2,3,4,5
69gi,238,2,2,2,2,2,2,4
rMjg,198,2,2,2,2,3,2,4
DyEk,436,1,1,3,2,3,2,3
XPWv,205,2,2,2,3,3,3,5
R5bf,387,2,2,3,2,2,2,4
kNup,142,3,3,3,1,3,4,4
z9n5,518,3,3,2,3,3,2,5
XG3E,632,2,2,3,3,2,3,5
SuHY,306,2,3,3,2,3,3,7
QnF3,523,2,1,3,3,2,3,4
ZxcQ,619,2,2,3,2,2,3,5
cBgC,370,2,2,2,2,3,1,3
a82i,285,3,2,4,4,3,4,7
BW8U,664,2,2,3,3,3,3,5
8A6Z,402,1,1,2,2,2,1,2
8Vgy,347,1,1,1,2,1,1,2
8648,224,1,1,2,2,3,2,2
pHPi,274,2,2,2,2,3,2,3
zerJ,587,3,3,3,3,3,3,7
imTW,333,3,3,3,3,3,4,7
MW4y,357,3,3,3,3,3,3,7
W3Sp,194,3,2,3,4,4,4,7
jHG1,371,2,2,3,2,2,3,5
BkMc,121,2,1,3,1,2,4,3
SG5z,400,1,2,1,2,2,3,3
jNFb,448,2,2,3,2,4,3,4
3PX8,302,2,2,2,0,3,2,3
DNB7,293,2,2,3,0,3,4,5
4y5g,532,3,3,3,3,3,3,6
H2gZ,200,3,3,3,3,3,3,5
oCg9,666,3,3,2,2,2,2,4
Pngd,207,1,1,3,3,3,3,5
hC46,489,2,2,3,2,2,2,6
z92i,546,3,3,2,2,4,4,5
khMA,466,2,2,3,3,2,2,4
S5pC,476,2,2,3,2,3,3,5
fTaR,371,2,3,3,2,2,3,5
Z3sU,294,3,2,3,3,4,3,6
kWvz,739,2,2,3,2,3,3,5
nv9j,553,2,2,3,1,1,3,3
WXAK,48,3,3,3,3,3,3,7
xftx,302,2,2,3,2,2,2,4
4zit,495,3,3,3,0,3,3,5
fa8g,537,2,2,3,2,3,3,4
G21j,582,3,3,3,3,3,3,5
TPah,639,2,2,3,2,2,2,4
akLT,616,2,2,3,3,3,2,3
KgoN,582,3,3,3,0,4,3,6
KWKJ,446,3,3,3,4,3,3,6
ee5R,701,2,2,3,2,4,3,3
U5bn,387,2,2,3,2,2,2,4
o1HE,681,2,2,3,3,2,2,4
nfA3,659,2,2,2,3,3,2,4
cgwm,478,3,3,3,3,3,4,7
HsTY,550,2,3,3,3,1,4,5
xZc5,66,2,2,3,2,2,2,4
zyto,70,3,3,3,3,3,3,5
MQfd,395,2,2,3,3,2,3,4
2bnu,269,2,2,3,2,2,3,4
wGsZ,278,1,1,3,1,1,3,3
ZPgv,723,3,2,3,2,2,3,5
3VNH,183,2,2,3,3,3,3,4
h4tR,572,3,3,3,3,3,3,5
1SG9,30,1,1,1,2,1,2,1
XRSf,601,2,2,3,3,3,2,3
ngx9,728,1,1,3,1,3,3,4
N4TK,259,2,2,2,2,1,2,3
68Qs,299,2,2,3,3,3,3,5
8WXz,323,3,2,3,2,3,4,6
wfn1,37,3,3,3,3,3,3,6
2iQF,734,3,3,4,3,4,4,8
4KcE,218,2,2,4,2,2,3,4
bfhi,141,3,3,2,4,3,3,5
YMRq,123,2,2,3,2,1,1,4
mEPn,629,3,2,3,2,2,3,5
uUoP,134,1,1,2,2,2,2,3
GAAw,622,1,2,3,2,4,3,5
vGXz,226,3,3,3,3,3,3,6
yvCx,400,2,2,3,2,2,3,4
fUzU,70,3,2,2,2,2,3,4
LMAY,399,2,1,1,0,1,1,2
7hm3,168,3,3,3,3,3,3,7
KuUM,201,1,2,3,2,3,3,3
FRjV,624,2,2,2,2,2,2,3
aFN5,497,3,2,2,2,2,3,4
YatR,88,2,2,2,2,2,2,4
XxCS,307,3,3,3,3,3,3,7
6Wx4,744,3,3,2,2,2,2,5
sreF,574,2,1,3,0,3,1,3
ze4K,131,2,2,3,2,2,3,4
72gZ,529,2,1,2,0,3,1,3
Yf3H,456,3,2,3,0,4,3,7
6BES,237,2,2,2,3,3,2,3
fstt,516,3,3,3,3,3,3,5
K87g,563,2,2,3,2,3,3,6
DHJG,210,2,2,3,3,3,3,5
cMsR,340,2,2,3,2,3,4,5
nLMF,64,2,2,3,2,4,3,5
ruYg,304,3,3,3,3,2,3,8
GzLr,527,3,3,3,2,2,3,7
DSQZ,314,3,3,3,3,3,4,7
n8Mh,273,2,2,3,2,3,3,5
Zvrv,574,3,3,3,3,3,4,7
DhpW,719,2,1,3,2,2,2,4
NSgv,154,3,3,3,3,3,3,5
idos,73,2,1,1,2,1,1,3
K5nZ,611,3,2,3,0,2,2,6
LWZb,171,1,2,3,3,3,4,3
uhnB,10,3,3,3,3,2,4,7
tMBF,318,2,2,3,3,4,4,6
uuqr,344,2,2,3,3,3,2,4
Et6G,535,3,2,2,2,1,2,4
pAF4,467,2,2,3,2,3,3,6
CiTc,493,2,2,3,3,4,3,6
59b1,10,2,2,3,2,3,3,5
hoLf,56,3,2,3,3,3,2,6
vAPK,538,2,2,2,3,3,2,4
FGTx,103,3,3,3,3,3,3,7
t35N,419,3,3,3,3,3,3,7
UYu6,383,3,2,3,3,3,3,5
Hdzd,4,3,2,3,2,3,3,4
74Nw,357,2,2,3,2,3,3,5
hhXi,176,2,2,2,2,2,2,3
hChq,190,3,3,3,3,4,4,7
6c7d,441,3,3,3,2,3,3,5
mRGL,631,3,3,3,3,3,3,7
j7mC,184,3,2,3,3,2,3,6
d2Km,217,3,2,3,3,3,3,6
vc8h,373,3,3,2,2,4,3,5
1cqQ,374,2,2,3,2,2,2,5
1DGT,352,2,2,2,2,2,3,4
xQH3,308,2,2,2,1,1,1,3
xiW8,318,2,2,2,1,2,2,5
L6b1,684,2,2,2,2,2,2,5
X9fy,353,2,2,3,3,2,4,5
wkC8,704,3,2,2,2,3,3,5
mkVp,729,3,3,3,3,3,3,7
TT2N,629,2,2,2,2,2,2,4
Rmnp,81,2,2,2,1,1,2,3
hD4S,495,3,3,3,3,4,4,6
qujv,123,3,3,3,3,4,4,8
HRBk,218,2,2,3,2,2,2,4
358t,168,4,4,3,4,3,2,7
ftoW,426,2,3,3,2,3,3,5
j5LS,301,3,3,3,2,2,2,4
jifS,103,3,3,3,3,2,3,6
RNND,125,2,3,3,2,3,3,5
Ueg1,148,2,2,2,2,2,2,5
Fvag,363,2,2,2,3,2,3,4
KNxt,247,1,1,1,2,3,2,2
1qwr,583,3,2,3,3,3,3,7
4Fo1,132,2,2,3,3,3,4,5
NjF2,494,2,2,2,3,2,3,4
wbd7,283,3,2,3,3,3,3,5
uvPc,634,2,2,3,3,2,3,5
7th4,362,2,2,3,2,2,3,4
v1sN,286,3,3,3,3,3,4,7
Rpqu,76,1,1,1,1,1,1,2
qBt3,266,3,3,3,3,3,3,7
VWsX,668,2,3,3,2,2,2,4
sVWk,405,3,3,3,2,2,3,5
swtH,90,1,1,2,1,2,2,3
z3VR,268,2,2,2,3,3,3,3
kEDW,327,3,3,3,3,3,4,7
F8r6,421,2,2,3,2,2,2,5
RAmc,401,2,2,3,3,3,3,4
LNCm,245,3,3,3,3,3,3,6
rZK2,140,3,3,2,3,3,3,4
sMbR,276,3,3,3,2,3,3,5
r2Kp,621,2,2,2,2,2,3,4
HBSS,157,2,2,3,1,3,3,4
GRDd,9,2,2,3,3,2,3,6
iuNg,588,2,3,3,2,2,3,5
dNs8,475,2,2,3,3,2,3,6
UmzV,305,3,3,2,2,3,4,5
r5cx,144,2,2,3,2,2,2,4
AuWF,177,2,2,3,3,3,2,4
aPdu,381,2,2,3,0,2,3,4
UzJn,584,3,2,3,2,3,3,6
DdF1,253,3,2,3,3,3,3,6
q7TS,198,2,2,3,3,2,3,4
A6TN,194,2,2,3,3,2,3,6
MXC8,306,3,3,3,2,3,3,6
yi5S,176,2,2,2,3,1,2,3
qRXz,144,2,2,3,3,3,3,5
9AQw,155,1,1,2,2,1,1,3
81eR,260,3,2,3,0,2,4,6
vDed,14,2,3,2,2,3,3,6
DEWY,277,3,3,3,3,3,4,8
aWyw,269,2,1,3,2,2,3,3
ky3y,10,2,2,3,2,3,4,3
4uR3,104,2,1,2,3,3,3,4
Z7zb,178,2,2,2,1,2,2,3
nf6d,613,2,2,3,3,2,3,5
2UQP,146,3,3,3,3,3,2,7
UYbP,422,1,1,1,3,3,3,3
dNTp,230,2,1,2,2,2,1,3
fykf,271,3,3,3,3,3,3,6
fqEc,437,3,3,3,3,3,3,6
QaqZ,213,3,3,3,3,3,3,5
XBPW,590,3,3,3,3,3,3,4
Ypsj,185,2,2,1,2,1,1,2
h1ZD,654,2,3,3,0,3,4,5
q61e,615,3,3,3,2,3,3,3
HK5t,729,3,3,3,2,3,3,5
beQJ,497,1,1,1,1,2,2,2
cZDa,436,2,2,3,2,3,3,3
6GnD,489,3,3,3,3,3,4,7
iCwy,296,2,2,3,3,3,4,6
Xh3D,691,3,4,3,3,3,3,6
tGeR,72,3,3,3,3,3,3,4
A8Gu,636,2,2,2,1,3,3,4
mfrB,52,2,3,3,2,2,3,5
o42R,563,3,2,3,2,2,3,6
wsc1,79,2,2,2,2,3,3,4
wWmc,34,2,3,2,2,2,1,2
YXX1,290,3,2,3,2,3,3,3
dj15,599,2,2,2,1,2,3,4
DazU,329,3,4,4,3,3,3,5
cYFn,14,3,3,3,3,2,4,7
t9Mm,557,3,3,3,3,2,3,7
Dasg,68,2,2,2,3,4,2,3
vQej,442,2,2,3,3,2,2,4
DozF,133,2,2,2,2,2,2,5
cHMa,620,2,2,2,2,2,1,3
4ztG,172,3,3,3,4,2,4,7
7ZMe,621,2,2,3,3,3,3,5
gwYz,655,3,2,3,3,2,1,4
L9WH,456,2,2,3,2,3,3,5
G9nx,211,2,1,3,1,3,3,3
PE6m,193,2,2,2,2,3,3,5
HmS2,603,3,2,2,2,3,2,4
WBb5,554,1,2,2,2,2,3,4
PrUQ,323,2,2,3,2,3,3,5
iFBg,458,3,3,3,3,4,2,7
29Ry,265,2,1,2,1,4,2,3
F15W,331,3,2,3,3,2,3,4
KPJp,14,2,2,3,2,2,3,4
m3sK,722,2,2,3,2,3,3,3
7v2u,202,1,2,2,2,3,3,4
1sEr,220,2,2,3,3,3,3,5
QhQP,554,2,2,3,3,3,2,4
AQoU,235,2,3,2,2,1,3,4
RW1T,233,3,2,2,2,1,2,4
V9Y6,533,2,1,3,3,2,2,4
eabg,234,3,3,3,3,3,3,6
8dmN,128,2,2,2,3,3,3,4
rxKJ,471,3,3,3,3,2,2,6
TYEp,509,3,2,2,3,3,2,6
HhbG,196,2,2,2,2,2,2,5
zdBV,69,3,2,3,2,3,3,6
qbGJ,659,2,2,3,2,2,3,4
CEag,649,2,2,3,2,4,3,5
Z9wY,699,2,2,3,3,2,3,6
MS2c,251,3,3,3,3,2,2,4
rkoC,251,2,2,2,2,2,2,5
Ld4R,725,3,2,3,3,2,3,4
KMP7,625,3,3,3,3,2,3,7
qXwW,140,2,2,3,2,3,3,4
qt69,639,2,2,3,2,2,2,4
hTkX,543,2,2,2,3,2,2,5
huLF,540,2,3,3,0,3,3,6
eSRU,293,3,2,1,2,2,3,3
bb7k,737,3,3,2,1,3,2,4
D2cS,295,2,2,3,2,2,3,4
FzYP,50,2,2,3,2,3,2,4
KLe5,145,2,3,3,2,3,3,4
6Q8u,536,2,2,3,2,2,3,3
JEpq,426,2,2,1,1,2,1,3
yiRv,339,2,3,3,3,3,3,5
56W6,181,3,2,3,3,3,3,7
JPgc,734,3,3,3,0,4,4,7
3Xdv,469,2,2,3,3,3,2,4
ukwv,524,3,3,2,2,1,2,6
6sie,741,1,1,1,2,2,1,3
cxaz,662,3,3,3,2,2,4,3
wrtS,717,2,2,3,3,2,3,7
rF1e,250,3,3,4,2,4,4,6
XJcM,631,2,2,2,2,3,3,6
dpnr,158,2,2,3,2,3,3,6
kfvo,388,3,3,3,3,4,3,7
QcM8,623,2,2,3,0,3,2,5
fG6J,245,2,2,2,1,2,2,4
NHnh,376,3,3,3,3,3,2,8
nSvh,473,1,1,3,3,3,4,4
y1qq,227,2,2,3,0,4,2,4
3vGX,122,2,2,3,2,3,3,6
dMqW,186,3,2,3,2,3,4,6
qSdc,738,2,2,3,3,4,4,3
jzmh,119,2,2,2,3,3,1,5
UT6x,348,2,1,1,1,1,1,3
t13Y,692,2,2,3,3,3,3,3
tJN7,429,3,2,3,3,3,3,4
JCJc,417,1,1,1,1,1,2,1
JJ3o,436,3,3,3,3,2,3,6
FTBu,457,3,3,3,3,3,3,7
wWig,527,3,2,3,3,3,3,7
So4t,506,2,1,1,1,1,1,2
nA7M,504,2,3,3,3,2,3,6
CZkK,510,2,2,2,1,2,2,3
iV6p,584,2,2,3,0,2,3,5
vunP,75,2,2,2,3,4,2,3
ozEg,403,3,2,3,2,3,3,5
jZfL,705,2,2,2,0,3,2,3
JH7R,259,2,2,3,3,2,3,5
BYAG,197,2,3,3,2,4,4,6
NRay,587,2,3,3,2,2,3,6
4qvR,55,2,2,3,2,2,2,3
qMLo,402,2,2,2,1,2,2,4
ZJtL,126,2,1,3,2,2,2,3
8CJW,321,3,3,3,3,2,3,6
eNSj,370,2,2,3,2,2,3,3
ZWUe,72,2,2,1,2,1,1,2
C9py,363,1,2,2,3,2,3,4
3Xpc,633,2,2,3,2,2,3,4
amur,308,3,2,3,3,2,2,5
Vkmo,7,3,3,3,4,3,3,6
YKs1,313,2,2,3,0,3,3,6
JX3D,468,1,2,3,2,2,2,4
t9mA,686,3,3,3,0,3,3,6
rs65,610,2,2,3,2,1,3,5
BGoo,313,3,2,3,3,2,3,6
zSWN,531,3,2,3,3,3,2,5
vAoi,705,3,2,3,3,2,2,4
6xCs,241,3,3,3,3,3,3,7
75CH,348,2,2,3,2,3,3,4
eiqA,229,2,2,2,2,3,3,4
rEzm,302,3,3,3,0,4,4,7
1Xca,16,3,3,2,2,2,2,4
ZApM,316,3,3,3,4,4,4,8
DFNE,664,2,2,3,2,3,3,4
dpYa,350,3,3,3,0,3,2,4
XJC6,405,3,2,2,2,2,2,6
XAZ5,96,2,2,2,0,2,2,3
NoHD,545,2,2,3,2,2,2,4
Tdnp,579,2,2,3,3,3,3,5
6vfq,208,2,2,3,3,3,3,3
tZtg,402,4,3,3,2,3,3,6
sw9P,569,2,2,3,2,3,3,5
9qbu,270,3,3,3,4,2,3,7
dJoe,301,2,2,2,0,3,3,4
ru6V,253,1,2,3,2,1,3,3
UB3c,278,3,3,3,3,2,3,6
3b44,429,2,2,3,3,2,3,6
EAYr,44,2,3,3,0,2,3,6
ArPc,111,4,4,3,3,3,4,8
CSn8,62,1,1,4,3,2,2,4
VYQn,566,1,2,3,3,3,3,5
Vfua,283,2,2,3,2,2,3,4
iMPA,195,2,3,3,3,3,4,6
M24P,303,2,3,3,3,3,2,6
bhwK,592,2,2,3,3,3,3,6
sUGN,578,2,2,2,3,2,3,6
AZhM,161,2,2,3,3,3,3,4
7ofk,174,3,2,3,2,2,3,4
meUJ,654,2,2,3,0,3,2,4
Cpf4,314,3,3,3,3,3,3,6
7sVR,344,2,2,3,3,1,2,3
BwNp,708,2,2,2,2,2,2,4
EoFN,127,2,2,2,2,1,1,2
jpsc,236,2,2,2,3,2,3,5
Ex5y,699,3,2,3,3,2,3,6
sFxT,42,2,2,3,2,3,3,5
k2JL,353,3,2,3,3,3,2,5
czwM,223,3,3,3,3,3,3,6
bzJb,674,3,3,3,3,4,4,7
gyGV,541,2,2,3,0,2,1,4
BgBH,133,1,2,2,2,2,1,3
enkK,733,3,3,3,3,2,2,6
SBts,284,3,3,3,3,3,3,6
823n,378,2,2,1,2,2,2,2
CcQW,664,2,2,3,2,3,3,4
4fK1,365,2,2,3,3,3,3,6
Q58Q,177,1,1,3,3,2,3,4
QzCq,706,3,3,3,0,4,4,6
wS5R,460,2,2,3,3,3,3,6
48RS,324,3,3,2,0,1,1,4
ztra,714,3,3,3,3,3,4,7
kVcD,320,3,2,3,2,3,4,4
TPax,217,3,3,3,3,3,3,6
G5FF,719,3,3,4,4,3,4,8
E5UL,520,2,2,3,2,3,3,4
L7rW,71,3,3,3,2,3,3,5
oqSy,83,1,2,3,3,3,3,4
did1,671,3,2,3,3,3,3,6
BE8X,237,2,2,3,2,3,3,5
d7HP,214,2,2,3,2,3,3,4
Xn3F,220,2,2,2,0,2,2,4
hbeB,147,3,3,3,3,4,4,6
9mn4,324,3,2,3,0,4,3,6
sgYP,388,3,2,3,2,3,3,5
E23d,47,2,2,2,2,2,2,4
e2ig,137,2,1,2,1,1,1,3
ZoCp,707,2,2,2,3,2,2,4
82m4,226,3,3,3,4,3,3,7
29Ce,368,1,1,1,2,4,2,3
JUT1,19,1,1,3,2,2,4,3
yTV1,729,2,2,2,2,2,2,6
rnUf,68,3,2,3,3,3,3,4
L3Tq,711,2,1,4,2,3,3,3
KUud,555,3,3,2,3,3,3,5
UpHM,33,2,2,2,0,3,2,4
hrLH,128,3,2,3,2,3,3,5
VdFi,298,3,3,3,3,3,3,3
FHbV,303,3,3,3,3,3,3,6
BTW5,148,2,2,2,0,3,3,4
oon4,106,2,3,3,2,3,3,5
3cqN,670,2,2,2,2,2,2,4
YQeE,104,2,2,3,2,3,2,5
aFz5,463,2,2,1,2,2,1,3
WYMs,104,2,2,2,2,2,3,4
o3Qk,374,3,2,3,2,3,3,4
wuEh,481,3,3,4,3,3,4,6
bPfg,236,3,3,3,3,3,3,6
Q6PB,32,3,3,4,3,3,4,7
36HV,381,2,2,4,2,2,4,4
SHCi,623,2,3,3,1,3,3,5
anyA,51,3,3,3,3,3,3,5
2XeJ,635,1,2,3,2,2,2,3
aC9c,222,2,2,3,3,3,2,4
ucoY,164,3,2,3,3,2,3,5
ixUE,319,2,2,3,3,3,4,5
SUBs,593,3,3,3,3,3,3,7
G8rJ,609,3,2,3,3,3,4,7
d9WX,700,2,2,3,2,2,1,3
iWfG,667,1,1,1,1,1,1,3
kjJJ,36,3,3,3,3,4,4,6
4G6n,147,3,3,4,3,4,4,7
qnzU,573,2,2,2,2,3,3,4
JWxD,187,2,3,3,3,3,3,6
yucn,167,2,2,2,2,3,2,3
m2KP,735,1,1,3,1,3,3,3
wdnG,175,2,2,3,1,2,2,3
9TDd,630,3,2,3,2,2,3,4
J6fX,186,3,3,3,3,3,3,6
JXbd,624,3,3,3,3,2,2,4
PYdY,715,2,2,3,2,2,2,5
pHdW,228,3,3,3,3,3,3,6
BmmP,588,1,2,3,4,4,3,4
zfAV,734,3,3,3,2,2,3,4
1VDw,643,1,1,1,2,1,2,3
